,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
788,bennega01,"Bennett, Gary",N,0,N,1995,2008,13,13,1,N,587,1690,14.1,40.8,74,3,22,19.2,6,5,139,270,19,16,14,17,53,7.7,14.5,241,328,302,0,0,0,-209.1292607,2.771991368,-451.6291484,-85.09868924,-66.48922783,3.47222981,-0.32782516
817,bergmda01,"Bergman, Dave",N,0,N,1975,1992,17,17,0,N,1349,2679,31.2,69,100,16,54,28.9,19,14,380,347,36,7,21,27,55,11.6,39.9,258,367,348,0,0,0,-268.7588281,11.91859028,-493.3722207,-105.6693512,-62.12251983,7.381202097,0.607418112
827,bernato01,"Bernazard, Tony",N,0,N,1979,1991,10,10,1,N,1071,3700,52.3,97,177,30,75,39.1,113,55,428,606,22,17,63,35,67,20.7,54.1,262,387,339,0,0,0,-305.4877759,22.54996607,-494.9695734,-87.09923774,-58.35059789,8.920745435,1.639193967
834,berrada01,"Berra, Dale",N,0,N,1977,1987,11,11,1,N,853,2553,23.6,60.3,109,9,49,27.8,32,17,210,422,57,12,33,27,54,11.8,24.2,236,344,294,0,0,0,-244.8201248,3.573476468,-445.6186966,-72.64313385,-58.73746671,5.012894323,1.077707231
835,berrayo01,"Berra, Yogi",Y,2,N,1946,1965,19,19,1,Y,2120,7555,117.5,215,321,49,358,143,30,26,704,414,49,52,9,44,146,37,73.4,285,482,348,3,0,1,-640.4437203,10.31694095,-456.0205909,-77.04247391,-72.56772497,-7.74628684,4.180487805
838,berroge01,"Berroa, Geronimo",N,0,N,1989,2000,11,11,0,N,779,2506,37.9,69.2,113,9,101,38.2,19,16,276,510,10,17,0,26,68,12.2,29.5,276,449,349,0,0,0,-339.0161473,-26.32660067,-539.1058993,-76.44880031,-62.12002554,7.959563615,1.336176991
840,berryda01,"Berryhill, Damon",N,0,N,1987,1997,10,10,1,N,683,2030,17.5,48.8,106,6,47,25.7,3,6,139,409,23,6,10,23,53,11.2,14.2,240,368,288,0,0,0,-246.1865475,-13.27413431,-462.1771935,-58.23119305,-58.48221382,4.013950649,0.546875
842,berryke01,"Berry, Ken",N,1,N,1962,1975,14,14,0,N,1384,4136,42.2,105.3,150,23,58,34.3,45,46,298,569,31,30,64,17,108,17.3,34.3,255,344,308,2,0,1,-274.6881049,44.00891911,-454.2431949,-76.14516006,-64.57360609,12.59062891,1.400616062
845,berryse01,"Berry, Sean",N,0,N,1990,2000,11,11,0,N,860,2413,31,65.7,153,10,81,36.9,47,24,206,438,19,32,11,29,50,16.3,25.3,272,445,334,0,0,0,-317.9000071,-23.39188715,-535.4455807,-62.85296065,-59.34433929,4.721221741,0.941583055
849,bertore01,"Bertoia, Reno",N,0,N,1953,1962,10,10,0,N,612,1745,20.4,42.5,60,10,27,17.1,16,15,142,252,11,16,31,23,46,7,15.8,244,336,303,0,0,0,-216.4066886,0.143810856,-456.9864496,-82.77174072,-67.08936818,6.930000058,-0.117680123
868,bevacku01,"Bevacqua, Kurt",N,0,N,1971,1985,15,15,0,N,970,2117,21.4,49.9,90,11,27,27.5,12,20,221,329,19,5,24,31,72,10.1,23.3,236,327,305,0,0,0,-218.4546221,9.531131251,-447.7351038,-87.51916658,-60.69191491,-1.469483477,-0.243286072
879,bicheda01,"Bichette, Dante",N,1,N,1988,2001,14,14,0,Y,1704,6381,93.4,190.6,401,27,274,114.1,152,73,355,1078,32,41,5,73,176,42.8,50.7,299,499,336,1,0,1,-562.2269138,11.44473319,-501.9171115,-48.03027684,-72.54480557,-0.801465316,0.765061999
888,biggicr01,"Biggio, Craig",Y,3,N,1988,2007,20,20,1,Y,2850,10876,184.4,306,668,55,291,117.5,414,124,1160,1753,68,285,101,81,150,72.3,157.4,281,433,363,9,3,1,-600.8502664,122.4972952,-451.957083,-84.06579974,-47.43571752,27.07783589,3.575261937
889,biittla01,"Biittner, Larry",N,0,N,1970,1983,14,14,0,N,1217,3151,31,86.1,144,20,29,35.4,10,12,236,287,36,11,18,27,93,16.4,24.6,273,359,324,0,0,0,-252.9422788,39.08247232,-490.5771596,-79.66345356,-73.27741246,2.08312927,0.185942492
893,bilkost01,"Bilko, Steve",N,0,N,1949,1962,10,10,0,N,600,1738,22,43.2,85,13,76,27.6,2,4,234,395,2,3,3,14,58,9.8,23.6,249,444,336,0,0,0,-300.6033144,-45.77931469,-530.212335,-70.46154461,-43.06962637,5.827484755,0.858283133
928,blackti01,"Blackwell, Tim",N,0,N,1974,1983,10,10,1,N,426,1044,9.1,23.8,40,11,6,8,3,3,154,183,14,4,17,6,23,5.1,15.7,228,305,328,0,0,0,-180.6827316,0.354728427,-450.4723031,-119.1828791,-58.72129139,5.917776515,0.895183673
936,blairpa01,"Blair, Paul",N,1,N,1964,1980,17,17,0,N,1947,6042,77.6,151.3,282,55,134,62,171,93,449,877,23,23,108,51,126,33.7,62,250,382,302,8,0,1,-372.7454795,45.35302011,-443.7799809,-59.03176127,-52.5821453,11.54550741,3.157740147
960,blasido01,"Blasingame, Don",N,0,N,1955,1966,12,12,1,N,1444,5296,73.1,136.6,178,62,21,30.8,105,60,552,462,15,15,62,13,43,24,65.7,258,327,329,0,0,0,-253.5150008,91.09198587,-466.8692623,-89.01477995,-55.08790356,17.04048727,1.233883462
966,blausje01,"Blauser, Jeff",N,0,N,1987,1999,13,13,1,Y,1407,4522,69.1,118.7,217,33,122,51.3,65,41,569,937,22,91,48,41,77,25,63.4,262,406,354,1,0,1,-363.0472772,21.10715903,-495.9970874,-95.57387604,-53.67831491,11.12224763,2.021096566
984,blowemi01,"Blowers, Mike",N,0,N,1989,1999,11,11,0,N,761,2300,29,59.1,116,8,78,36.5,7,8,248,610,10,6,15,16,80,12.4,25.5,257,416,329,0,0,0,-300.7897028,-21.91508959,-508.6377343,-73.56390709,-56.31505464,2.228234645,0.834274662
994,boccajo01,"Boccabella, John",N,1,N,1963,1974,12,12,1,N,551,1462,11.7,32,56,5,26,14.8,3,7,96,246,20,5,16,16,43,6.1,9.9,219,317,267,0,0,0,-197.9003023,-11.26023134,-418.0625906,-64.61806238,-58.17029955,5.577645192,-0.029905956
