,HOF,WAR,BBSB_Norm,IBB_Norm,AB,SF_Norm,HR_Norm,SO_Norm,SH_Norm,HBP_Norm,SP,ASG,G,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,RBI_Norm,SB_Norm,CS_Norm,GIDP_Norm,BB_Norm,DBTP_Norm,PC_1
15,1,4.043115385,0.1659869944,0.0068334619,9073,0.0106910614,0.0231455968,0.1256475256,0.0163121349,0.0055108564,17,0.71,2379,300,371,443,0.1662074286,0.0555494324,0.0088173702,0.1249862229,0.0522429185,0.0125647526,0.0227047283,0.1137440758,0.0643668026,-528.1053844
62,0,2.07206195,0.0650008166,0.0086558876,6123,0.0135554467,0.0432794382,0.1259186673,0,0.0080026131,12,0.25,1587,278,316,469,0.1329413686,0.0503021395,0.0055528336,0.1636452719,0.0109423485,0.0058794708,0.0269475747,0.0540584681,0.0558549731,-528.7724871
970,0,3.95043644,0.1563593932,0.009218203,8570,0.0106184364,0.0284714119,0.1282380397,0.0103850642,0.0023337223,19,0.26,2390,276,363,426,0.1617269545,0.049008168,0.0075845974,0.126487748,0.0166861144,0.0087514586,0.0166861144,0.1396732789,0.0565927655,-530.8871247
632,0,2.560087926,0.1210870313,0.0085999312,5814,0.0063639491,0.0466116271,0.1943584451,0.0003439972,0.0070519436,13,0.08,1525,273,331,485,0.1563467492,0.0548675611,0.0084279326,0.1479188166,0.0393876849,0.0158238734,0.015995872,0.0816993464,0.0632954936,-532.3598724
194,0,2.587454339,0.0730711661,0.0107497619,7349,0.0107497619,0.0327935774,0.1239624439,0.006259355,0.0023132399,17,0.29,1896,298,337,466,0.1377058103,0.0564702681,0.0063954279,0.153082052,0.0121104912,0.0066675738,0.0204109403,0.0609606749,0.062865696,-535.3530074
819,0,2.92630306,0.103323019,0.0114354904,7433,0.0083411812,0.036459034,0.1907708866,0.002959774,0.0071303646,14,0.21,2034,268,333,435,0.1287501682,0.0411677654,0.0080721109,0.1413964752,0.0092829275,0.0076685053,0.0372662451,0.0940400915,0.0492398762,-535.533862
899,0,1.510960093,0.0793953858,0.0087509944,6285,0.0111376293,0.045505171,0.1422434368,0.0041368337,0.0081145585,16,0.19,1766,266,320,454,0.1260143198,0.0416865553,0.0049323787,0.1530628481,0.0023866348,0.0035003978,0.030389817,0.077008751,0.046618934,-537.4141218
400,0,2.097405751,0.0878103521,0.0108009539,7129,0.012063403,0.0374526582,0.1420956656,0.0029457147,0.0030859868,18,0.22,2048,278,329,446,0.1319960724,0.0481133399,0.0037873475,0.1558423341,0.0082760555,0.00659279,0.029597419,0.0795342965,0.0519006873,-537.648821
217,0,2.751000488,0.204660778,0.0110881413,5321,0.0093967299,0.0529975569,0.2627325691,0.0005638038,0.0062018418,17,0.12,1626,269,359,482,0.1762826536,0.0449163691,0.0048862996,0.1755309152,0.065589175,0.0124036835,0.0210486751,0.1390716031,0.0498026687,-538.6332459
1005,0,4.200948814,0.2177964828,0.0126258831,6653,0.0111228017,0.0437396663,0.2144897039,0.0048098602,0.0040583196,15,0.2,1920,250,366,436,0.1660904855,0.0428378175,0.0058620171,0.1448970389,0.0338193296,0.0151811213,0.0175860514,0.1839771532,0.0486998347,-538.9774575
