,HOF,WAR,BBSB_Norm,IBB_Norm,AB,SF_Norm,HR_Norm,SO_Norm,SH_Norm,HBP_Norm,SP,ASG,G,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,RBI_Norm,SB_Norm,CS_Norm,GIDP_Norm,BB_Norm,DBTP_Norm,PC_1
946,0,-0.908566722,0.0590339893,0.0053667263,559,0.0089445438,0.0107334526,0.1949910555,0.0214669052,0.0035778175,10,0,277,161,203,222,0.0661896243,0.0250447227,0.0017889088,0.0787119857,0.0071556351,0.0089445438,0.0161001789,0.0518783542,0.0268336315,-124.5361038
833,0,-0.098913043,0.0753968254,0.003968254,252,0.003968254,0.003968254,0.1388888889,0.0198412698,0.003968254,10,0,140,190,244,234,0.0793650794,0.0238095238,0.003968254,0.0833333333,0.0079365079,0.003968254,0.0436507937,0.0674603175,0.0277777778,-129.7102791
480,0,-0.307487521,0.0767807586,0.0064754857,1081,0.0046253469,0,0.1230342276,0.0323774283,0.0064754857,11,0,622,213,266,253,0.0999074931,0.0296022202,0.0055504163,0.0601295097,0.0083256244,0.0092506938,0.0342275671,0.0684551341,0.0351526364,-148.4130696
277,0,0.027911275,0.1232731137,0.0010626993,941,0.0053134963,0.0031880978,0.1509032944,0.041445271,0.0053134963,10,0,517,220,291,273,0.1158342189,0.0308182784,0.0063761955,0.0722635494,0.0255047821,0.0138150903,0.0116896918,0.0977683316,0.037194474,-160.5058539
909,0,0.065901639,0.0762041697,0.0208483106,1391,0.0071890726,0.0057512581,0.1358734723,0.0122214234,0.002875629,10,0,574,214,268,265,0.0560747664,0.030194105,0.0021567218,0.0726096334,0.0021567218,0.0043134436,0.0258806614,0.0740474479,0.0323508267,-162.8947619
731,0,-0.282820258,0.1109865471,0.0112107623,892,0.0112107623,0.0156950673,0.2141255605,0.0067264574,0.0044843049,10,0,367,188,267,279,0.0807174888,0.0414798206,0.0011210762,0.0919282511,0.0044843049,0.0033632287,0.0246636771,0.1065022422,0.0426008969,-164.7385906
65,0,-0.027139461,0.0777922642,0.011299435,2301,0.0026075619,0.0008691873,0.1668839635,0.025206432,0.0099956541,17,0,1154,221,270,259,0.0943068231,0.023902651,0.0060843112,0.061712299,0.0186875272,0.0073880921,0.0230334637,0.0591047371,0.0299869622,-166.248199
261,0,0.611546392,0.1919191919,0.0050505051,792,0.0101010101,0.0101010101,0.1603535354,0.0265151515,0.0050505051,10,0,560,207,330,277,0.1641414141,0.0340909091,0.0025252525,0.0921717172,0.0088383838,0.0088383838,0.029040404,0.1830808081,0.0366161616,-167.8359978
370,0,0.001422764,0.0511425462,0.0010881393,919,0.0054406964,0.0130576714,0.1904243743,0.0141458107,0.0032644178,12,0,480,215,252,289,0.0739934712,0.0326441785,0.0010881393,0.0794341676,0.0032644178,0.0021762786,0.0261153428,0.0478781284,0.0337323177,-168.061092
967,0,0.155984118,0.1089987326,0.0069708492,1578,0.0057034221,0.0044359949,0.1894803549,0.0285171103,0.0088719899,10,0,800,219,278,275,0.1235741445,0.0285171103,0.0069708492,0.0728770596,0.0348542459,0.0139416984,0.0152091255,0.0741444867,0.0354879594,-169.5042304
392,0,0.079383117,0.0437062937,0.0026223776,1144,0.0043706294,0.0008741259,0.0673076923,0.0262237762,0.0052447552,11,0,499,247,280,293,0.0909090909,0.0375874126,0.0026223776,0.0751748252,0.0026223776,0.0061188811,0.0236013986,0.0410839161,0.0402097902,-170.3368704
861,0,0.145435467,0.1254545455,0.0024242424,1650,0.0036363636,0.0060606061,0.1472727273,0.0284848485,0.0042424242,14,0,816,216,301,263,0.1193939394,0.023030303,0.003030303,0.0727272727,0.0066666667,0.0036363636,0.016969697,0.1187878788,0.0260606061,-170.6560847
48,0,0.65481353,0.0857959962,0.0171591992,1049,0.0057197331,0.0085795996,0.1601525262,0.0057197331,0.0047664442,10,0,393,226,287,287,0.0514775977,0.0295519542,0.0028598665,0.0629170639,0.0028598665,0.0057197331,0.0314585319,0.0829361296,0.0324118208,-171.3521293
374,0,0.29161442,0.1191111111,0.0044444444,1125,0.0044444444,0.0035555556,0.1555555556,0.0142222222,0.0115555556,10,0,547,233,311,292,0.1457777778,0.0275555556,0.0106666667,0.064,0.0151111111,0.0097777778,0.0124444444,0.104,0.0382222222,-173.6763084
33,0,0.062986599,0.1158493248,0.0071073205,1407,0.0035536603,0.0063965885,0.1407249467,0.0156361052,0.0042643923,11,0,624,220,286,286,0.118692253,0.039800995,0.0035536603,0.0611229566,0.0255863539,0.0149253731,0.0255863539,0.0902629709,0.0433546553,-173.7645271
871,0,-0.137639405,0.0637007078,0.0151668352,989,0.0040444894,0.0121334681,0.1193124368,0.0080889788,0.0121334681,10,0,451,216,271,296,0.0839231547,0.0374115268,0.003033367,0.0940343782,0,0.0010111223,0.0384226491,0.0637007078,0.0404448938,-173.9905023
267,0,0.453152279,0.0888650964,0.0128479657,934,0.0074946467,0.0074946467,0.0995717345,0.0149892934,0.0021413276,11,0,383,241,296,296,0.0802997859,0.0278372591,0.0021413276,0.0888650964,0.0096359743,0.0021413276,0.017130621,0.0792291221,0.0299785867,-175.1754609
540,0,-0.695905259,0.0524054983,0.0055841924,2328,0.0047250859,0.0012886598,0.0498281787,0.0171821306,0.0055841924,10,0,817,236,270,277,0.0850515464,0.029209622,0.0038659794,0.0588487973,0.0098797251,0.0107388316,0.0262027491,0.0425257732,0.0330756014,-176.0903518
193,0,0.112252384,0.1443123939,0.0025466893,1178,0.0025466893,0.0076400679,0.2521222411,0.0152801358,0.0025466893,10,0,603,221,315,289,0.1341256367,0.0263157895,0.0093378608,0.0704584041,0.0076400679,0.0084889643,0.0203735144,0.136672326,0.0356536503,-176.2917848
160,0,0.312361466,0.1033138402,0.0009746589,1026,0.0107212476,0.0116959064,0.2134502924,0.0253411306,0.0068226121,12,0,418,220,293,297,0.0955165692,0.0380116959,0.0019493177,0.0984405458,0.0029239766,0.0058479532,0.0204678363,0.1003898635,0.0399610136,-177.938977
750,0,-0.231735537,0.0902394107,0.0046040516,1086,0.0064456722,0.0073664825,0.1270718232,0.0165745856,0.0064456722,11,0,507,240,302,297,0.1003683241,0.0313075506,0.0018416206,0.0782688766,0.0055248619,0.0082872928,0.0359116022,0.0847145488,0.0331491713,-178.4239548
966,0,-0.14793757,0.1094527363,0.0062189055,804,0.0037313433,0.0049751244,0.1691542289,0.0199004975,0.0012437811,11,0,461,249,311,315,0.1231343284,0.0410447761,0.0049751244,0.0671641791,0.0186567164,0.0087064677,0.0223880597,0.0907960199,0.0460199005,-180.1445212
255,0,0.031180812,0.0837589377,0.0040858018,979,0.0051072523,0.0224719101,0.3432073544,0.0112359551,0.0091930541,10,0,373,200,266,299,0.075587334,0.0255362615,0.0030643514,0.0929519918,0.0020429009,0.0010214505,0.0234933606,0.0817160368,0.0286006129,-180.3324921
86,0,0.895183673,0.1503831418,0.0134099617,1044,0.0057471264,0.0057471264,0.1752873563,0.0162835249,0.0038314176,10,0,426,228,328,305,0.087164751,0.0383141762,0.0105363985,0.0766283525,0.0028735632,0.0028735632,0.0220306513,0.1475095785,0.0488505747,-180.6827316
891,0,-0.044908616,0.0497237569,0.0055248619,724,0.0027624309,0.0220994475,0.2016574586,0,0.0055248619,11,0,394,218,258,319,0.0773480663,0.0345303867,0,0.1132596685,0,0.0041436464,0.0303867403,0.0497237569,0.0345303867,-181.3845905
512,0,-0.227932961,0.0752688172,0.0092165899,651,0.0076804916,0.0168970814,0.2488479263,0.019969278,0.0046082949,11,0,282,226,276,326,0.1013824885,0.0430107527,0.0030721966,0.1213517665,0.0076804916,0.0076804916,0.0291858679,0.0675883257,0.0460829493,-182.1279859
585,0,0.92349923,0.1094975312,0.0142317746,3443,0.0066802207,0.0017426663,0.1562590764,0.0156839965,0.002323555,14,0,1423,217,293,259,0.0877142027,0.022945106,0.0069706651,0.0731919837,0.0020331107,0.0031948882,0.0273017717,0.1074644206,0.0299157711,-184.168223
499,0,-0.117299578,0.0463378176,0.0074738416,669,0.0089686099,0.019431988,0.1061285501,0.0059790732,0.0014947683,12,0,318,232,264,330,0.0956651719,0.0313901345,0.0044843049,0.1031390135,0,0.0014947683,0.0164424514,0.0463378176,0.0358744395,-184.260096
799,0,0.144899905,0.08125,0.0119791667,1920,0.0057291667,0.0145833333,0.1927083333,0.0057291667,0.0020833333,11,0,636,193,252,280,0.0760416667,0.03125,0.00625,0.0838541667,0.0020833333,0.0020833333,0.0359375,0.0791666667,0.0375,-184.9144064
873,0,-0.092009988,0.1246478873,0.0063380282,1420,0.0091549296,0.0056338028,0.1535211268,0.0154929577,0.0056338028,10,0,777,237,306,305,0.1154929577,0.0316901408,0.0098591549,0.0788732394,0.0267605634,0.014084507,0.0126760563,0.0978873239,0.0415492958,-185.1334479
734,0,-0.056259822,0.0756351039,0.0080831409,1732,0.0098152425,0.0080831409,0.087182448,0.0144341801,0.0046189376,11,0,682,233,286,292,0.1016166282,0.0242494226,0.0051963048,0.0773672055,0.0023094688,0.0057736721,0.0219399538,0.0733256351,0.0294457275,-185.8790992
440,0,0.425776105,0.1357104843,0.0047897818,1879,0.0085151676,0.0042575838,0.1213411389,0.0180947312,0.0031931879,12,0,827,234,304,295,0.1287919106,0.0345928685,0.0069185737,0.0798296966,0.0340606706,0.0111761575,0.0292708888,0.1016498137,0.0415114423,-186.2049913
184,0,0.13575282,0.0954198473,0.0027262814,1834,0.0021810251,0.0032715376,0.1428571429,0.0147219193,0.0114503817,12,0,892,238,304,304,0.1368593239,0.0288985823,0.0136314068,0.0681570338,0.0119956379,0.0103598691,0.0103598691,0.0834242094,0.0425299891,-187.378062
340,0,0.5167603,0.0738866397,0.0111336032,988,0.0010121457,0.0060728745,0.1285425101,0.0091093117,0.0091093117,10,0,389,260,309,323,0.1072874494,0.0384615385,0.0030364372,0.0708502024,0.012145749,0.0070850202,0.0334008097,0.0617408907,0.0414979757,-187.8830963
172,0,-0.190712203,0.121628017,0.020350213,2113,0.0056791292,0.0066256507,0.2229058211,0.0160908661,0.0018930431,11,0,915,217,296,288,0.1121628017,0.0354945575,0.008045433,0.0899195457,0.0089919546,0.0085186938,0.014197823,0.1126360625,0.0435399905,-187.9738768
24,0,0.480497756,0.1104408353,0.011136891,2155,0.0055684455,0.003712297,0.1299303944,0.0218097448,0.0046403712,11,0,940,234,309,292,0.0979118329,0.0348027842,0.0060324826,0.0723897912,0.0051044084,0.0064965197,0.0245939675,0.1053364269,0.0408352668,-188.5092374
55,0,-0.243561644,0.0907715582,0.0090771558,661,0.0181543116,0.0211800303,0.2269288956,0,0.0045385779,10,0,393,231,288,334,0.119515885,0.0272314675,0.0060514372,0.1361573374,0.0090771558,0.0075642965,0.0166414523,0.0816944024,0.0332829047,-189.6670843
791,0,-0.475888205,0.0779288703,0.0020920502,1912,0.0094142259,0.0041841004,0.0831589958,0.0188284519,0.0026150628,12,0,730,247,298,302,0.1140167364,0.0413179916,0.0005230126,0.0810669456,0.004707113,0.0052301255,0.0271966527,0.0732217573,0.0418410042,-190.498844
693,0,0.076047431,0.1041852182,0.0035618878,1123,0.0044523598,0.0115761354,0.1798753339,0.0080142476,0.0151380232,10,0,456,231,308,321,0.0854853072,0.0489759573,0.0035618878,0.0961709706,0.0053428317,0.0035618878,0.0258236866,0.0988423865,0.0525378451,-191.3216923
908,0,0.579066207,0.1408268734,0,2322,0.0047372954,0.003875969,0.165374677,0.0228251507,0.0034453058,10,0,863,241,307,293,0.1296296296,0.0258397933,0.0073212748,0.0572782084,0.0465116279,0.0176571921,0.0172265289,0.0943152455,0.033161068,-191.5352022
692,0,-0.012168035,0.0681098205,0.0036958817,1894,0.0063357973,0.0026399155,0.1172122492,0.0137275607,0.0095036959,13,0,749,256,305,305,0.0749736008,0.0374868004,0.0021119324,0.0982048574,0.0042238648,0.0095036959,0.0306230201,0.0638859556,0.0395987328,-191.9674952
518,0,-0.003908629,0.0396975425,0.0067512827,3703,0.0051309749,0.0021604105,0.1177423711,0.0210640022,0.0010802052,10,0,1196,228,255,275,0.080205239,0.0299756954,0.0054010262,0.0737240076,0.0029705644,0.0029705644,0.0364569268,0.0367269781,0.0353767216,-192.120642
7,0,-0.304397981,0.0967741935,0.0055074744,1271,0.0031471282,0.0118017309,0.2171518489,0.0149488592,0.0055074744,11,0,594,231,282,324,0.1306058222,0.0393391031,0.0094413847,0.0904799371,0.0291109363,0.0078678206,0.013375295,0.0676632573,0.0487804878,-192.4369151
580,0,0.094833525,0.0491183879,0.0012594458,794,0.0075566751,0.0138539043,0.1738035264,0.0176322418,0.0226700252,10,0,301,241,289,344,0.0994962217,0.056675063,0.0025188917,0.0906801008,0,0.0025188917,0.0214105793,0.0491183879,0.0591939547,-192.7711623
726,0,0.263761955,0.079115765,0.0110529378,1719,0.0116346713,0.0063990692,0.1361256545,0.0058173357,0.0052356021,11,0,712,240,291,314,0.096567772,0.026759744,0.0139616056,0.0843513671,0.0069808028,0.0069808028,0.0238510762,0.0721349622,0.0407213496,-193.0297675
314,0,0.722194357,0.087755102,0.0047619048,1470,0.0040816327,0.0081632653,0.193877551,0.0136054422,0.0027210884,10,0,619,239,286,323,0.1102040816,0.0380952381,0.0108843537,0.0761904762,0.0231292517,0.0149659864,0.0326530612,0.0646258503,0.0489795918,-193.0453827
660,0,0.143198529,0.0781725888,0.0060913706,985,0.0081218274,0.0060913706,0.0629441624,0.0121827411,0.007106599,10,0,424,266,321,334,0.0842639594,0.0274111675,0.0111675127,0.0883248731,0.0010152284,0.0010152284,0.0233502538,0.0771573604,0.0385786802,-194.2901293
507,0,0.122673374,0.1160604822,0.0147118921,2447,0.0065386187,0.0053126277,0.1111565182,0.0183898651,0.0016346547,10,0,977,231,307,289,0.0972619534,0.0249284839,0.0085819371,0.0825500613,0.0053126277,0.0089906007,0.0286064569,0.1107478545,0.0335104209,-194.5188818
513,0,0.286883876,0.0391111111,0.0151111111,1125,0.0044444444,0.016,0.1413333333,0.016,0.0053333333,11,0,476,237,268,331,0.0791111111,0.0364444444,0.0044444444,0.096,0.0008888889,0,0.0293333333,0.0382222222,0.0408888889,-194.913744
304,0,0.305607477,0.1190644933,0.0049610206,1411,0.0106307583,0.0099220411,0.1304039688,0.0085046067,0.0028348689,12,0,702,238,316,313,0.1063075833,0.0354358611,0.0049610206,0.1126860383,0.0035435861,0.0028348689,0.0248051028,0.1155209072,0.0403968816,-195.1909609
859,0,0.104443195,0.1189873418,0.0082278481,1580,0.0075949367,0.0037974684,0.0683544304,0.0240506329,0.003164557,10,0,779,260,321,318,0.1335443038,0.0335443038,0.0063291139,0.0892405063,0.0284810127,0.017721519,0.0196202532,0.0905063291,0.0398734177,-195.48045
619,0,0.323134087,0.091233072,0.0064148254,2806,0.0060584462,0.0053456878,0.1500356379,0.0106913756,0.0028510335,10,0,973,229,288,284,0.0887384177,0.0306486101,0.0042765502,0.0805416964,0.0078403421,0.0064148254,0.0260156807,0.0833927299,0.0349251604,-195.6266295
983,0,-0.122557525,0.089314845,0.0032626427,2452,0.0069331158,0.0032626427,0.1643556281,0.013050571,0.0048939641,11,0,972,245,286,305,0.1109298532,0.0318107667,0.0093800979,0.0730016313,0.0330342577,0.0175367047,0.0159053834,0.0562805873,0.0411908646,-195.6334808
592,0,1.175815851,0.1034708579,0.0314341847,1527,0.008513425,0.0098231827,0.1918795023,0.0052390308,0.0072036673,10,0,556,234,307,318,0.0785854617,0.0412573674,0.0065487885,0.0851342502,0.0006548788,0.0013097577,0.0275049116,0.102815979,0.0478061559,-196.4379275
810,0,0.244450402,0.1361675909,0.0166358595,1623,0.0049291436,0.0129390018,0.1386321627,0.0086260012,0.0036968577,10,0,674,225,316,303,0.0800985829,0.0326555761,0.0030807147,0.0967344424,0.0043130006,0.0049291436,0.0301910043,0.1318545903,0.0357362908,-197.274425
22,0,0.219101704,0.1189504373,0.0052478134,1715,0.004664723,0.0052478134,0.1306122449,0.0099125364,0.0069970845,10,0,643,244,320,321,0.144606414,0.0390670554,0.0110787172,0.0717201166,0.0110787172,0.0151603499,0.021574344,0.1078717201,0.0501457726,-197.3050253
673,0,0.585769231,0.0928527795,0.0232131949,1637,0.006719609,0.0085522297,0.0910201588,0.0177153329,0.0012217471,11,0,593,250,309,313,0.0891875382,0.0342089188,0.0012217471,0.0769700672,0.006719609,0.0116065974,0.0195479536,0.0861331704,0.0354306659,-197.4241858
91,0,-0.029905956,0.0677154583,0.0136798906,1462,0.0109439124,0.0177838577,0.1682626539,0.0109439124,0.0034199726,12,0,551,219,267,317,0.0800273598,0.0383036936,0.0034199726,0.1012311902,0.0020519836,0.0047879617,0.0294117647,0.0656634747,0.0417236662,-197.9003023
741,0,0.138761975,0.0957983193,0.0050420168,1190,0.0100840336,0.0201680672,0.2117647059,0.0176470588,0.0243697479,17,0,519,208,286,331,0.0949579832,0.0554621849,0.0033613445,0.1176470588,0.0075630252,0.0067226891,0.0302521008,0.0882352941,0.0588235294,-199.5072627
949,0,0.059050445,0.1446179129,0.0057518488,1217,0.0123253903,0.0139687757,0.1741988496,0.0049301561,0.0008216927,11,0,526,246,305,329,0.123253903,0.0304026294,0.0057518488,0.0953163517,0.05505341,0.0156121611,0.0180772391,0.0895645029,0.0361544782,-199.9778592
272,0,0.02890625,0.0697506325,0.001445609,2767,0.0068666426,0.001445609,0.0531261294,0.0346946151,0.0086736538,10,0,903,259,305,303,0.1062522588,0.0310805927,0.0039754246,0.0748102638,0.0097578605,0.0075894471,0.0318033972,0.059992772,0.0350560173,-200.5313565
940,0,-0.374725629,0.0533707865,0.0028089888,2848,0.0087780899,0.0049157303,0.1155196629,0.0172050562,0.0115870787,12,0,996,241,283,294,0.0877808989,0.029494382,0.0042134831,0.0811095506,0.0031601124,0.0080758427,0.0217696629,0.0502106742,0.0337078652,-200.6520014
146,0,0.882767857,0.1251282051,0.0179487179,1950,0.0071794872,0.0092307692,0.1815384615,0.0143589744,0.0035897436,13,0.08,740,235,319,309,0.0676923077,0.0338461538,0.0061538462,0.0866666667,0.0015384615,0.0087179487,0.0343589744,0.1235897436,0.04,-202.16514
335,0,0.672722096,0.1195581546,0.0019493177,1539,0.0064977258,0.012345679,0.1494476933,0.0214424951,0.0084470435,13,0,705,239,315,320,0.1202079272,0.0383365822,0.0025990903,0.0883690708,0.0149447693,0.0103963613,0.0350877193,0.1046133853,0.0409356725,-202.2607636
857,0,0.073178808,0.1012345679,0.0098765432,810,0.0111111111,0.0222222222,0.1555555556,0.0037037037,0.0037037037,12,0,563,237,306,348,0.1185185185,0.0419753086,0.0012345679,0.1444444444,0.0012345679,0.0024691358,0.0197530864,0.1,0.0432098765,-202.6198875
800,0,0.613000703,0.0985259891,0.003878976,1289,0.0054305663,0.0193948798,0.12257564,0.0170674942,0.0062063615,11,0,564,230,286,330,0.126454616,0.0356865787,0.0031031808,0.0845616757,0.0232738557,0.0131885182,0.0256012413,0.0752521334,0.0387897595,-202.8455533
342,0,0.956303237,0.1075735649,0.0106126387,2073,0.0062711047,0.005788712,0.0926193922,0.0197780994,0.00723589,10,0,913,247,318,317,0.1138446696,0.0434153401,0.0048239267,0.0786300048,0.0082006753,0.0067534973,0.0270139894,0.0993728895,0.0482392668,-203.0553407
742,0,0.795851635,0.0610727562,0.0005310674,1883,0.0074349442,0.0074349442,0.0982474774,0.0201805629,0.0053106745,10,0,789,250,291,327,0.1083377589,0.0451407329,0.004779607,0.0775358471,0.0058417419,0.0063728093,0.0318640467,0.0552310143,0.0499203399,-203.1643032
285,0,-0.975544676,0.0443810018,0.0150532053,3853,0.0051907604,0.0018167662,0.0830521671,0.0155722813,0.000259538,11,0,1309,238,266,294,0.0747469504,0.0298468726,0.0101219829,0.0737087983,0.0051907604,0.0051907604,0.0246561121,0.0391902414,0.0399688554,-203.3721287
449,0,0.09480826,0.1230769231,0.0036006547,3055,0.0055646481,0.0022913257,0.0867430442,0.0186579378,0.0036006547,12,0,936,251,308,303,0.1296235679,0.0265139116,0.0091653028,0.0530278232,0.0412438625,0.0166939444,0.0170212766,0.0818330606,0.0356792144,-203.3891562
529,0,-0.56745377,0.104982764,0.0115951113,3191,0.0059542463,0.0068943905,0.1767471012,0.017862739,0.0021936697,12,0,1039,222,277,289,0.1002820432,0.034158571,0.0059542463,0.0717643372,0.0294578502,0.0159824506,0.016295832,0.0755249138,0.0401128173,-203.8146478
925,0,0.302776323,0.0983510012,0.0029446408,1698,0.0159010601,0.0070671378,0.0789163722,0.0206124853,0.0053003534,10,0,639,260,315,326,0.1036513545,0.0347467609,0.0053003534,0.0924617197,0.0159010601,0.011778563,0.0288574794,0.0824499411,0.0400471143,-203.9592357
647,0,-0.57052356,0.1416134649,0.0052234475,1723,0.0069645966,0.0063842136,0.1311665699,0.0127684272,0.0058038305,11,0,769,254,313,333,0.143354614,0.0400464306,0.0098665119,0.0841555427,0.0586186883,0.033081834,0.0191526407,0.0829947766,0.0499129425,-204.469518
237,0,0.451054079,0.2045,0.001,2000,0.002,0.003,0.0985,0.015,0.003,12,0,800,265,315,332,0.157,0.0335,0.0125,0.0645,0.1335,0.039,0.0185,0.071,0.046,-204.5083067
325,0,1.068969359,0.0902989628,0.0115924344,1639,0.0073215375,0.0152532032,0.1409395973,0.0054911531,0.0091519219,10,0,538,233,289,321,0.0957901159,0.0323367907,0.004881025,0.0890787065,0.0170835876,0.0134228188,0.0195241001,0.0732153752,0.0372178157,-204.6472291
620,0,-0.335342568,0.0710784314,0.0040849673,2448,0.0093954248,0.0044934641,0.0718954248,0.0236928105,0.0036764706,11,0,989,254,293,317,0.1184640523,0.029003268,0.0098039216,0.0751633987,0.016748366,0.0134803922,0.0253267974,0.0543300654,0.0388071895,-204.8353389
617,0,0.360778443,0.1042608903,0.0080933111,4201,0.0052368484,0.0011901928,0.1068793144,0.0214234706,0.0019043085,11,0,1219,231,291,293,0.1078314687,0.0240418948,0.0169007379,0.0604617948,0.0197572007,0.0085693882,0.0188050464,0.0845036896,0.0409426327,-205.1606964
417,0,0.719013666,0.1640953717,0.0182328191,1426,0.0105189341,0.0133239832,0.152173913,0.0098176718,0.0028050491,12,0,666,240,342,322,0.0834502104,0.0392706872,0.0014025245,0.103085554,0.0070126227,0.0091164095,0.0238429173,0.1570827489,0.0406732118,-205.4758034
26,0,0.595059029,0.125863771,0.0083909181,2026,0.0064165844,0.0093780849,0.1633761106,0.0182625864,0.0024679171,10,0,873,242,312,318,0.1204343534,0.0360315893,0.005923001,0.0705824284,0.0241855874,0.0148075025,0.0241855874,0.1016781836,0.0419545903,-206.4656364
114,0,0.425068979,0.0946302817,0.0044014085,2272,0.005721831,0.0070422535,0.1007922535,0.0176056338,0.0030809859,11,0.09,919,247,310,313,0.107834507,0.0352112676,0.0048415493,0.082306338,0.0044014085,0.0066021127,0.0347711268,0.0902288732,0.0400528169,-206.4912862
270,0,0.338526231,0.1454465075,0.0035366932,2262,0.0070733864,0.0061892131,0.0959328028,0.0198938992,0.0026525199,10,0,899,249,301,322,0.1405835544,0.0260831123,0.0141467728,0.0764809903,0.0711759505,0.0203359859,0.0083996463,0.074270557,0.0402298851,-206.886401
998,0,-0.076377271,0.0696721311,0.0167087011,3172,0.0047288777,0.0094577554,0.1696090794,0.0198612863,0.0009457755,12,0,1164,215,264,286,0.0784993695,0.0327868852,0.0050441362,0.0844892812,0.0022068096,0.0022068096,0.0324716267,0.0674653216,0.0378310214,-206.9594205
937,0,0.15724359,0.1317108089,0.0064423765,1397,0.009305655,0.012884753,0.1560486757,0.0164638511,0.0050107373,12,0,727,241,302,345,0.125984252,0.040801718,0.0121689334,0.0916249105,0.0458124553,0.012884753,0.012884753,0.0858983536,0.0529706514,-207.4524385
329,0,0.660120846,0.1357808858,0.0052447552,1716,0.0075757576,0.0116550117,0.0786713287,0.0099067599,0.0081585082,13,0,695,241,332,320,0.0979020979,0.0343822844,0.0046620047,0.1060606061,0.0040792541,0.0029137529,0.0268065268,0.1317016317,0.039044289,-208.2340083
145,0,0.835197368,0.255489022,0.003493014,2004,0.00499002,0.005988024,0.1606786427,0.0144710579,0.0154690619,13,0,1038,250,370,319,0.1636726547,0.0364271457,0.0074850299,0.0668662675,0.0768463074,0.0304391218,0.0134730539,0.1786427146,0.0439121756,-208.9305239
71,0,-0.32782516,0.0857988166,0.0112426036,1690,0.0100591716,0.0130177515,0.1597633136,0.0082840237,0.0094674556,13,0,587,241,302,328,0.0834319527,0.0437869822,0.0017751479,0.1136094675,0.0035502959,0.0029585799,0.0313609467,0.0822485207,0.0455621302,-209.1292607
281,0,0.985095137,0.1209057825,0.0141528508,2473,0.009704812,0.0036393045,0.1184795795,0.0129397493,0.0129397493,11,0,972,255,335,317,0.1031136272,0.0311362717,0.0101091791,0.0845127376,0.0088960776,0.0088960776,0.0173877881,0.1120097048,0.0412454509,-209.2321761
948,0,-0.342763158,0.0692271219,0.0018966335,2109,0.0066382172,0.0132764343,0.1626363205,0.0066382172,0.0047415837,11,0,682,233,280,315,0.1019440493,0.0374585111,0.0023707918,0.0986249407,0.0061640588,0.0056899004,0.0265528687,0.0630630631,0.039829303,-209.8308953
816,0,0.99506347,0.1303924749,0.005838469,3083,0.0055141096,0.0068115472,0.1706130392,0.0094064223,0.0084333441,19,0,1321,227,317,297,0.1277975997,0.0366526111,0.0064871878,0.0684398313,0.0038923127,0.0094064223,0.0181641259,0.1265001622,0.0431397989,-210.0812587
672,0,-0.054029957,0.115848753,0.0084473049,2486,0.0028157683,0.0072405471,0.1798069187,0.0201126307,0.0044247788,12,0,1030,242,313,314,0.1150442478,0.0353982301,0.0076427997,0.0840707965,0.0152855994,0.0064360418,0.0197103781,0.1005631537,0.0430410298,-210.492637
250,0,0.614607237,0.1194179629,0.0245860512,1993,0.0050175615,0.0150526844,0.2082288008,0.0080280983,0.0095333668,14,0,722,221,306,315,0.0757651781,0.0371299548,0.0055193176,0.0868038133,0.0050175615,0.0020070246,0.0270948319,0.1144004014,0.0426492725,-210.5690322
68,0,0.910246275,0.1181375956,0.0180681028,2878,0.0072967338,0.0062543433,0.0872133426,0.0170257123,0.0045170257,12,0.17,982,242,320,299,0.0743571925,0.0340514246,0.0020847811,0.0903405142,0.0041695622,0.0069492703,0.0264072272,0.1139680334,0.0361362057,-211.1303521
70,0,0.795009416,0.0778816199,0.0098650052,1926,0.005192108,0.0124610592,0.222741433,0.0295950156,0.01298027,13,0,817,229,277,339,0.1178608515,0.0565939772,0.007788162,0.0877466251,0.0228452752,0.0072689512,0.0197300104,0.0550363448,0.0643821391,-211.4156339
551,0,-0.387368421,0.0679012346,0.0067901235,1620,0.0080246914,0.0135802469,0.2117283951,0.0148148148,0.0160493827,11,0,721,241,293,343,0.1055555556,0.0524691358,0.0043209877,0.0932098765,0.0061728395,0.0074074074,0.024691358,0.0617283951,0.0567901235,-211.5667292
661,0,0.737008696,0.1578743212,0.003878976,2578,0.0062063615,0.0077579519,0.1520558573,0.0186190846,0.0050426687,10,0.1,813,244,305,312,0.1318851823,0.0298681148,0.0073700543,0.0818463926,0.0725368503,0.0283165244,0.0197827773,0.0853374709,0.0372381691,-211.8026921
243,0,1.434883721,0.0825515947,0.0026266417,2665,0.0045028143,0.0097560976,0.1283302064,0.0255159475,0.0030018762,10,0,915,232,279,311,0.0930581614,0.0390243902,0.0052532833,0.0900562852,0.0183864916,0.0112570356,0.025891182,0.0641651032,0.0442776735,-212.498258
411,0,0.709330728,0.1028192371,0.0160309563,1809,0.0088446656,0.0187949143,0.1343283582,0.0171365395,0.0033167496,14,0,737,223,295,317,0.0807075732,0.034273079,0.0016583748,0.1094527363,0.0005527916,0.0038695412,0.037037037,0.1022664456,0.0359314538,-212.5033314
