,HOF,SP,ASG,G,AB,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,HR_Norm,RBI_Norm,SB_Norm,CS_Norm,BB_Norm,SO_Norm,IBB_Norm,HBP_Norm,SH_Norm,SF_Norm,GIDP_Norm,DBTP_Norm,BBSB_Norm
925,0,10,0,639,1698,260,315,326,0.1036513545,0.0347467609,0.0053003534,0.0070671378,0.0924617197,0.0159010601,0.011778563,0.0824499411,0.0789163722,0.0029446408,0.0053003534,0.0206124853,0.0159010601,0.0288574794,0.0400471143,0.0983510012
926,0,10,0.1,894,3166,278,315,458,0.1200252685,0.0533796589,0.0047378395,0.0388502843,0.1497157296,0.0186355022,0.0116866709,0.0568540745,0.145925458,0.0028427037,0.0022109918,0.0015792798,0.010739103,0.0255843335,0.0581174984,0.0754895768
927,0,10,0,631,1507,251,310,402,0.102189781,0.0544127405,0.00331785,0.0298606503,0.1393497014,0,0,0.0869276709,0.1705374917,0.0079628401,0.00265428,0.00265428,0.0112806901,0.0258792303,0.0577305906,0.0869276709
928,0,11,0,1105,3917,279,360,454,0.1567526168,0.0717385754,0.0043400562,0.0316568803,0.1424559612,0.0119989788,0.0079142201,0.1182027062,0.1337758489,0.0038294613,0.0135307633,0.0091907072,0.0107224917,0.0232320654,0.0760786316,0.130201685
929,0,16,0,1678,5539,243,321,448,0.1574291388,0.054522477,0.0074020581,0.0449539628,0.1473190107,0.0245531684,0.0101101282,0.113738942,0.2336161762,0.0097490522,0.0052356021,0.0126376602,0.0088463622,0.0119155082,0.0619245351,0.1382921105
930,0,13,0,970,2775,237,314,373,0.1131531532,0.0436036036,0.0043243243,0.0277477477,0.1261261261,0.0018018018,0.0025225225,0.092972973,0.1488288288,0.003963964,0.0227027027,0.0118918919,0.0061261261,0.0378378378,0.0479279279,0.0947747748
931,0,20,0,1806,5029,282,398,391,0.1527142573,0.0453370451,0.0145158083,0.011533108,0.1195068602,0.0218731358,0.0157088884,0.1873135812,0.0564724597,0.0023861603,0.0075561742,0.0129250348,0.0033803937,0.0220719825,0.0598528534,0.209186717
932,0,14,0,1372,2751,261,351,441,0.1359505634,0.0617957107,0.0065430752,0.0352599055,0.1563067975,0.0138131589,0.0072700836,0.1399491094,0.2537259178,0.0116321338,0.0029080334,0.0007270084,0.0072700836,0.0192657216,0.0683387859,0.1537622683
933,0,13,0.23,1658,5711,274,349,443,0.1462090702,0.0513045001,0.0159341621,0.028716512,0.1386797409,0.0428996673,0.0103309403,0.1167921555,0.1861320259,0.0096305376,0.0047277184,0.0021012082,0.0106811417,0.0164594642,0.0672386622,0.1596918228
934,0,15,0.27,1731,6103,242,337,470,0.1666393577,0.0465344912,0.0037686384,0.058168114,0.175651319,0.0198263149,0.0096673767,0.1417335737,0.2479108635,0.0088481075,0.0060625922,0.0018023923,0.0088481075,0.0165492381,0.0503031296,0.1615598886
935,0,16,0,1273,4244,276,352,408,0.1491517436,0.0504241282,0.0054194156,0.0235626767,0.1048539114,0.0183788878,0.0087181904,0.1090951932,0.2009896324,0.0014137606,0.0115457116,0.0089538172,0.0044769086,0.0278039585,0.0558435438,0.1274740811
936,0,11,0,637,1802,251,369,441,0.1354051054,0.0482796892,0.0061043285,0.0432852386,0.1509433962,0.0033296337,0.0055493896,0.1864594895,0.2297447281,0.0094339623,0.0061043285,0.0049944506,0.0088790233,0.0227524972,0.0543840178,0.1897891232
937,0,12,0,727,1397,241,302,345,0.125984252,0.040801718,0.0121689334,0.012884753,0.0916249105,0.0458124553,0.012884753,0.0858983536,0.1560486757,0.0064423765,0.0050107373,0.0164638511,0.009305655,0.012884753,0.0529706514,0.1317108089
938,0,16,0.12,2079,7064,267,362,444,0.142412231,0.0478482446,0.00198188,0.041619479,0.1673272933,0.0033975085,0.0053793884,0.152180068,0.1669026048,0.0186862967,0.0032559456,0.0046715742,0.0107587769,0.0249150623,0.0498301246,0.1555775764
939,0,12,0.17,1400,5141,242,290,367,0.1264345458,0.0447383777,0.0122544252,0.0184788952,0.091616417,0.0188679245,0.0093367049,0.0618556701,0.1575568955,0.0050573818,0.0077805874,0.0097257343,0.0056409259,0.0178953511,0.056992803,0.0807235946
940,0,12,0,996,2848,241,283,294,0.0877808989,0.029494382,0.0042134831,0.0049157303,0.0811095506,0.0031601124,0.0080758427,0.0502106742,0.1155196629,0.0028089888,0.0115870787,0.0172050562,0.0087780899,0.0217696629,0.0337078652,0.0533707865
941,0,12,0.25,1418,5113,298,359,445,0.140817524,0.066692744,0.0023469587,0.0250342265,0.1279092509,0.0044983376,0.0031292783,0.0934871895,0.1087424213,0.0068452963,0.0072364561,0.0070408762,0.0086055154,0.0283590847,0.0690397027,0.0979855271
942,0,12,0.08,1148,4240,282,348,379,0.1478773585,0.045754717,0.0115566038,0.0094339623,0.0808962264,0.0273584906,0.0158018868,0.0679245283,0.0688679245,0.0025943396,0.0370283019,0.0077830189,0.0056603774,0.016745283,0.0573113208,0.0952830189
943,0,12,0,1583,5980,267,316,379,0.122909699,0.039632107,0.0135451505,0.0152173913,0.0839464883,0.0078595318,0.0090301003,0.0739130435,0.1081939799,0.0068561873,0.0013377926,0.0088628763,0.0065217391,0.0140468227,0.0531772575,0.0817725753
944,0,11,0.18,739,2258,243,324,416,0.1142604074,0.0372010629,0.0026572188,0.04340124,0.1359610275,0.0017714792,0.002214349,0.1098317095,0.2006200177,0.0093002657,0.0128432241,0.0035429584,0.0053144376,0.0358724535,0.0398582817,0.1116031887
945,0,18,0,1820,5379,270,318,346,0.1176798661,0.0379252649,0.0087376836,0.0066926938,0.0892359175,0.0137572039,0.011526306,0.070273285,0.1355270496,0.0061349693,0.0029745306,0.0198921733,0.0070645101,0.0195203569,0.0466629485,0.0840304889
946,0,10,0,277,559,161,203,222,0.0661896243,0.0250447227,0.0017889088,0.0107334526,0.0787119857,0.0071556351,0.0089445438,0.0518783542,0.1949910555,0.0053667263,0.0035778175,0.0214669052,0.0089445438,0.0161001789,0.0268336315,0.0590339893
